linterId,severity,objectName,message,value
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<107> repetitions of the same value <LOTISSEMENT LE VILLAGE DES GAIACS>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<107> repetitions of the same value <LOTISSEMENT MARTIN-LECOLE>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<108> repetitions of the same value <LE VALLON D'ARGENT>,bilan_adm.adresses_consolidees.lotissement
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1006>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1029>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1031>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1035>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1047>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1054>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1062>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1066>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1069>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1078>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1090>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1094>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1098>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1102>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1113>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1117>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1125>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1151>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1156>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <11610>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1176>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1196>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1205>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1209>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1210>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1226>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1229>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1233>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <12352>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1238>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1257>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1290>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1292>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1336>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1377>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1400>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1508>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <16033>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <18032>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <1805>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <20027>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <20054>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <20746>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <26534>,bilan_adm.adresses_consolidees.surf_equiv_m2
io.github.mbarre.schemacrawler.tool.linter.LinterColumnContentNotNormalized,HIGH,bilan_adm.adresses_consolidees,<10> repetitions of the same value <27181>,bilan_adm.adresses_consolidees.surf_equiv_m2
